   0.00000000E+000   0.24072544E+001   0.49823848E-002
   0.15909903E-001   0.33257148E+002   0.12329508E+000
   0.31819805E-001   0.24974848E+002   0.11411418E+000
   0.47729708E-001   0.16363446E+002   0.12094627E+000
   0.63639610E-001   0.92966036E+001   0.10693884E+000
   0.79549513E-001   0.56778756E+001   0.90547344E-001
   0.95459415E-001   0.34854497E+001   0.83050556E-001
   0.11136932E+000   0.28307460E+001   0.18263567E+000
   0.12727922E+000   0.39954985E+001   0.98174062E-001
   0.14318912E+000   0.58116572E+001   0.70362430E-001
   0.15909903E+000   0.72633877E+001   0.52524829E-001
   0.17500893E+000   0.65756704E+001   0.10145873E+000
   0.19091883E+000   0.47678241E+001   0.96988593E-001
   0.20682873E+000   0.29864729E+001   0.11614732E+000
   0.22273864E+000   0.19711003E+001   0.69770538E-001
   0.23864854E+000   0.16730530E+001   0.28129456E-001
   0.25455844E+000   0.16189990E+001   0.28860403E-001
   0.27046834E+000   0.20743971E+001   0.33855964E-001
   0.28637825E+000   0.30978805E+001   0.51178196E-001
   0.30228815E+000   0.41334095E+001   0.54988849E-001
   0.31819805E+000   0.44365372E+001   0.53357645E-001
   0.33410795E+000   0.37140128E+001   0.30642470E-001
   0.35001786E+000   0.27222100E+001   0.48285764E-001
   0.36592776E+000   0.20101443E+001   0.48348672E-001
   0.38183766E+000   0.17617041E+001   0.74009445E-001
   0.39774756E+000   0.17280335E+001   0.75577146E-001
   0.41365747E+000   0.18769119E+001   0.81483117E-001
   0.42956737E+000   0.24045174E+001   0.73262106E-001
   0.44547727E+000   0.31531740E+001   0.77171820E-001
   0.46138717E+000   0.36138357E+001   0.79695264E-001
   0.47729708E+000   0.33976122E+001   0.95409609E-001
   0.49320698E+000   0.27296185E+001   0.93987143E-001
   0.50911688E+000   0.21610700E+001   0.85667416E-001
   0.52502679E+000   0.19159900E+001   0.80457524E-001
   0.54093669E+000   0.18982600E+001   0.68743462E-001
   0.55684659E+000   0.19321133E+001   0.56360967E-001
   0.57275649E+000   0.21450424E+001   0.51662833E-001
